Tweets Ago,Account,Date,Positive,Neutral,Negative,Compound,Text
47,CBSNews,Thu Mar 15 11:10:37 +0000 2018,0.062,0.393,0.545,-0.8591,The Navy is investigating a fighter jet crash off the Florida Keys that killed a pilot and a weapons officer… https://t.co/1u4k2m0US2
48,CBSNews,Thu Mar 15 11:09:46 +0000 2018,0.143,0.101,0.756,0.25,The Justice Department may fire the FBI's former deputy director before he retires in a few days. Andrew McCabe is… https://t.co/r9O2ULDA27
49,CBSNews,Thu Mar 15 11:05:15 +0000 2018,0.0,0.0,1.0,0.0,President Trump is expected to continue a shake-up of senior staffers and Cabinet members. In the 14 months of his… https://t.co/Hayzl7BN5I
50,CBSNews,Thu Mar 15 11:00:02 +0000 2018,0.14,0.0,0.86,0.4767,"Toys ""R"" Us is seeking bankruptcy court approval to start closing its 735 U.S. stores and liquidating their invento… https://t.co/iCOoJ6RaoQ"
51,CBSNews,Thu Mar 15 10:48:27 +0000 2018,0.175,0.0,0.825,0.4926,RT @CBSThisMorning: Good morning! Here's a preview of what we're working on. See you at 7. https://t.co/fhuTVTjE3R
52,CBSNews,Thu Mar 15 10:45:01 +0000 2018,0.0,0.107,0.893,-0.0191,"Commentary: Believe it or not, John Kasich matters https://t.co/Xm6AmSirRa https://t.co/KOrVxMcq93"
53,CBSNews,Thu Mar 15 10:39:51 +0000 2018,0.0,0.0,1.0,0.0,Coming up on CBS: @CBSThisMorning's cameras follow @JDickerson home as he tries to go a day without technology for… https://t.co/Uz2c1dymWC
54,CBSNews,Thu Mar 15 10:32:25 +0000 2018,0.0,0.0,1.0,0.0,"RT @CBSThisMorning: THIS MORNING:
@JillonMoney discusses Toys ""R"" Us going out of business
@dansenor joins us in Studio 57
Author @Catherin…"
55,CBSNews,Thu Mar 15 10:25:01 +0000 2018,0.0,0.106,0.894,-0.3612,AHEAD on @CBSThisMorning: @MajorCBS is at the White House with the latest turmoil in the West Wing and who could be… https://t.co/spzz6Z6jIw
56,CBSNews,Thu Mar 15 10:20:01 +0000 2018,0.0,0.349,0.651,-0.7579,Is President Trump reluctant to blame Russia for attack on an ex-spy in the U.K.? https://t.co/nMVMNE4OCS https://t.co/JgndByz5ms
57,CBSNews,Thu Mar 15 10:01:25 +0000 2018,0.0,0.0,1.0,0.0,"Toys ""R"" Us, the retailer that sold toys and games to generations of children, could close in the U.S. completely –… https://t.co/zgP3poeJMo"
58,CBSNews,Thu Mar 15 09:54:05 +0000 2018,0.0,0.141,0.859,-0.2023,"Dylann Roof's sister charged with bringing knife, marijuana to school https://t.co/Fb2robXGhp https://t.co/EwcnozPsgn"
59,CBSNews,Thu Mar 15 09:48:03 +0000 2018,0.255,0.0,0.745,0.4767,Larry Kudlow accepts offer to replace Gary Cohn as top economic adviser https://t.co/lGCJK666sB https://t.co/WYIH6wdrbj
60,CBSNews,Thu Mar 15 09:40:04 +0000 2018,0.0,0.429,0.571,-0.7579,Trump reluctant to blame Russia for attack on ex-spy in U.K.? https://t.co/DWWSQUHRIb https://t.co/aO467KoeGk
61,CBSNews,Thu Mar 15 09:33:04 +0000 2018,0.0,0.0,1.0,0.0,"Speaker Ryan says both candidates in Pennsylvania ""ran as conservatives"" https://t.co/SwIwuOZLLE https://t.co/bRy0yPi7aO"
62,CBSNews,Thu Mar 15 09:18:06 +0000 2018,0.0,0.0,1.0,0.0,Alaska sled dogs make a run for it after ditching mushers https://t.co/DkAuRI99sk https://t.co/lp4dJuF65X
63,CBSNews,Thu Mar 15 09:03:05 +0000 2018,0.0,0.396,0.604,-0.802,Sex offender convicted of murder on slain Ohio State student's birthday https://t.co/fOk5P5LClz https://t.co/SVIrZikIiJ
64,CBSNews,Thu Mar 15 08:48:03 +0000 2018,0.0,0.268,0.732,-0.5267,"N.Y. school, 911 employees on leave after autistic student drowns in river https://t.co/QboNpdEaJd https://t.co/KJwgwUBYjY"
65,CBSNews,Thu Mar 15 08:33:05 +0000 2018,0.0,0.0,1.0,0.0,2 Austin families targeted by package bombs knew each other https://t.co/4PXUfoGIgX https://t.co/jrLvLU7JjY
66,CBSNews,Thu Mar 15 08:24:06 +0000 2018,0.252,0.0,0.748,0.4019,"U.S. commander: ""Definitely a change"" in Iran's behavior https://t.co/WZg1m9a29U https://t.co/J1NQUf922m"
67,CBSNews,Thu Mar 15 08:18:07 +0000 2018,0.0,0.136,0.864,-0.296,"Duke's Coach K on his historic path: ""Never underestimate the immense power of your imagination""… https://t.co/mzNHFZ3TwT"
68,CBSNews,Thu Mar 15 08:03:04 +0000 2018,0.0,0.264,0.736,-0.6486,"Craig Mack, “Flava in Ya Ear” rapper, is dead at 47 https://t.co/G5piA8mp7U https://t.co/kUtJvKL2li"
69,CBSNews,Thu Mar 15 07:48:04 +0000 2018,0.171,0.22,0.61,-0.2023,Dog that died in United overhead bin barked for 2 hours https://t.co/sg0LiISakO https://t.co/2FcwRDCUV6
